company_name,role,opportunity_type,application_start_date,application_end_date,skills,experience_required,job_portal_name,application_link,location,salary,description,company_rating,scraped_at
Codanto,Python developer,Full-time,,,"Up to ₹50,000 a month",N/A,Indeed.com,https://in.indeed.com/viewjob?jk=16367f7e0f49f1a6,Remote,"Up to ₹50,000 a month","Up to ₹50,000 a month",N/A,2025-10-10 00:30:00
Kinaxis Inc.,"Staff Software Developer, Machine Learning",Full-time,,,Full-time,N/A,Indeed.com,https://in.indeed.com/viewjob?jk=1b25875144a8d00b,"Bengaluru, Karnataka",N/A,Full-time,N/A,2025-10-10 00:30:00
Aristocrat,Sr Engineer II - C++ Developer,Full-time,,,Full-time,N/A,Indeed.com,https://in.indeed.com/viewjob?jk=2fd97db2c2f43e6d,"Hybrid work in Noida, Uttar Pradesh",N/A,Full-time,3.4,2025-10-10 00:30:00
PRODAT IT SOLUTIONS (INDIA) PVT. LTD,Python Developer,Full-time,,,"Up to ₹5,00,000 a month, Health insurance, Provident Fund",N/A,Indeed.com,https://in.indeed.com/viewjob?jk=7392ba1fd5d8569c,"JP Nagar, Bengaluru, Karnataka","Up to ₹5,00,000 a month","Up to ₹5,00,000 a month | Health insurance | Provident Fund",N/A,2025-10-10 00:30:00
ThomsunInfocareLLP,Python developer(Immediate Joiners),Full-time,,,N/A,N/A,Indeed.com,https://in.indeed.com/viewjob?jk=e3dbc4f635042df9,"Kochi, Kerala",N/A,N/A,N/A,2025-10-10 00:30:00
SRSB Workforce Solutions,Python Developer,Full-time,,,"₹3,00,000 - ₹5,00,000 a month, Full-time",N/A,Indeed.com,https://in.indeed.com/viewjob?jk=2fbc24850b201d87,"Bengaluru, Karnataka","₹3,00,000 - ₹5,00,000 a month","₹3,00,000 - ₹5,00,000 a month | Full-time",N/A,2025-10-10 00:30:01
DiracERP Solution Pvt. Ltd.,Jr. Python Developer,Full-time,,,N/A,N/A,Indeed.com,https://in.indeed.com/viewjob?jk=0a0dc089cbc31b82,"Gurugram, Haryana",N/A,N/A,N/A,2025-10-10 00:30:01
Quantified Ante,Python/Django Developer,Full-time,,,"₹40,000 - ₹60,000 a month, Full-time, Health insurance, Work from home",N/A,Indeed.com,https://in.indeed.com/viewjob?jk=f8417dc6ad66a6f3,Remote,"₹40,000 - ₹60,000 a month","₹40,000 - ₹60,000 a month | Full-time | Health insurance | Work from home",N/A,2025-10-10 00:30:01
Biitcode,Python Developer,Full-time,,,"₹9,00,000 - ₹10,00,000 a year, Internet reimbursement, Work from home",N/A,Indeed.com,https://in.indeed.com/viewjob?jk=dce3ddb15eb8d3b0,Remote,"₹9,00,000 - ₹10,00,000 a year","₹9,00,000 - ₹10,00,000 a year | Internet reimbursement | Work from home",N/A,2025-10-10 00:30:01
Emerinter Infotech,Python Developer,Full-time,,,"₹15,000 - ₹35,000 a month, Work from home",N/A,Indeed.com,https://in.indeed.com/viewjob?jk=9df6a37fb89869b5,"Remote in Kochi, Kerala","₹15,000 - ₹35,000 a month","₹15,000 - ₹35,000 a month | Work from home",N/A,2025-10-10 00:30:01
Quickgov Solutions Private Limited,Python Developer,Full-time,,,"₹10,00,000 - ₹17,00,000 a year, Health insurance, Provident Fund",N/A,Indeed.com,https://in.indeed.com/viewjob?jk=20106cfbadb77221,"Sultanpur, Gurugram, Haryana","₹10,00,000 - ₹17,00,000 a year","₹10,00,000 - ₹17,00,000 a year | Health insurance | Provident Fund",N/A,2025-10-10 00:30:01
iPeople Infosystems LLC,Python AI/ML Chatbot Developer,Full-time,,,"₹10,00,000 - ₹20,00,000 a year",N/A,Indeed.com,https://in.indeed.com/viewjob?jk=4985959551589214,Remote,"₹10,00,000 - ₹20,00,000 a year","₹10,00,000 - ₹20,00,000 a year",N/A,2025-10-10 00:30:01
Leo Coders Pvt. Ltd,Python-Django Developer,Full-time,,,N/A,N/A,Indeed.com,https://in.indeed.com/viewjob?jk=4206291ff6845cc0,Remote,N/A,N/A,N/A,2025-10-10 00:30:01
Bosch Group,AI/ML -Python Developer,Full-time,,,N/A,N/A,Indeed.com,https://in.indeed.com/viewjob?jk=08f0dc1f1de90687,"Bengaluru, Karnataka",N/A,N/A,N/A,2025-10-10 00:30:01
Careersteer services private limited,Python Full Stack Developer,Full-time,,,"₹15,00,000 - ₹22,00,000 a year, Work from home",N/A,Indeed.com,https://in.indeed.com/viewjob?jk=d91449c3609d5843,Remote,"₹15,00,000 - ₹22,00,000 a year","₹15,00,000 - ₹22,00,000 a year | Work from home",N/A,2025-10-10 00:30:01
